TYPEHUQ,CDD65,CDD30YR,AIA_Zone,KOWNRENT,YEARMADE,YEARMADERANGE,NUMFLRS,ROOFTYPE,NAPTFLRS,STORIES,BEDROOMS,NCOMBATH,OTHROOMS,TOTROOMS,PRKGPLC1,SIZEOFGARAGE,GARGLOC,OVEN,OVENFUEL,OVENCLN,TYPECLN,OUTGRILL,FUELFOOD,NUMFRIG,SIZRFRI1,ICE,TYPERFR2,SIZRFRI2,REFRIGT2,MONRFRI2,SEPFREEZ,NUMFREEZ,UPRTFRZR,SIZFREEZ,FREEZER,DISHWASH,DWASHUSE,CWASHER,TOPFRONT,WASHLOAD,WASHTEMP,RNSETEMP,DRYER,DRYRFUEL,DRYRUSE,TVCOLOR,TVSIZE2,TVTYPE2,CABLESAT2,TVONWD2,TVONWE2,TVSIZE3,TVTYPE3,CABLESAT3,TVONWD3,TVONWE3,NUMPC,TIMEON2,PCPRINT,ELECDEV,FUELHEAT,HEATOTH,HEATROOM,NUMTHERM,FUELH2O,WHEATOTH,ZWHEATAGE,ZWHEATBKT,AIRCOND,DNTAC,CENACHP,MAINTAC,ACROOMS,USECENAC,THERMAINAC,PROTHERMAC,TEMPHOMEAC,TEMPGONEAC,TEMPNITEAC,NUMCFAN,USECFAN,SWIMPOOL,POOL,LGT4,LGT1,NOUTLGTNT,WINDOWS,USENG,USELP,ELWARM,ELCOOL,ELWATER,ELFOOD,UGWARM,UGWATER,UGCOOK,LPOTHER,PELHEAT,PELHOTWA,PELCOOK,PELAC,PGASHEAT,PGASHTWA,PUGCOOK,SPOUSE,NHSLDMEM,AGEHHMEMCAT2,AGEHHMEMCAT3,MONEYPY,TOTSQFT,TOTSQFT_EN,TOTHSQFT,TOTCSQFT,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,TOTALBTUCOL,TOTALBTURFG,TOTALBTUOTH,TOTALDOL,TOTALDOLCOL,TOTALDOLWTH,TOTALDOLRFG,TOTALDOLOTH,KAVALNG,PERIODNG,KWH
2,1578,1390,4,1,1958,2,0,5,0,10,4,3,2,6,1,2,2,0,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,13,1,1,2,2,3,1,1,1,4,2,2,2,3,3,3,3,2,1,1,4,4,2,2,1,0,6,1,1,0,0,0,1,0,0,1,6,3,1,1,77,82,77,2,2,0,0,4,5,1,30,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,4,12,6,22,3168,2768,2768,2768,2234,0.0,720.897,0.0,207.444,1305.659,123524,13432,3865,40079,3085,721,427,207,1469,1,1,12200
2,673,828,2,2,1972,4,0,5,0,10,3,2,3,6,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,1,1,2,3,1,0,0,1,1,3,2,2,1,5,1,3,2,2,1,3,4,1,2,1,5,5,1,0,0,1,1,0,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,2,1,0,30,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,2,12,0,19,1584,1584,1584,528,1090,49.356,66.991,0.0,143.176,830.477,100021,1927,4117,27561,1872,67,186,143,872,1,1,9187
2,607,777,3,2,1950,2,0,5,0,20,2,1,2,4,0,0,0,2,5,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,1,11,1,2,1,2,3,1,5,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,4,2,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,3042,3042,3042,0,2872,0.0,0.0,0.0,493.17,2378.83,144796,0,8193,39520,4796,0,263,493,2379,0,0,13984
2,3748,3477,5,1,2000,7,0,1,0,10,4,2,4,8,1,3,2,0,0,1,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,1,11,1,2,1,3,3,1,1,1,2,2,1,1,3,3,0,0,0,0,0,0,0,0,1,5,0,8,1,1,0,0,0,1,0,1,1,8,2,1,1,78,78,77,6,2,0,0,1,1,0,41,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,5,3834,3184,3184,3184,551,28.098,324.497,0.0,59.891,138.391,39555,8870,1637,9562,1074,324,400,60,262,1,1,4413
2,238,442,1,1,1975,4,0,6,0,20,5,2,4,9,1,2,2,0,0,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,1,30,1,1,2,2,2,1,5,1,4,2,1,1,2,3,1,1,0,1,2,3,2,2,1,1,0,9,1,5,0,0,0,1,0,0,0,9,1,1,0,0,0,0,1,1,0,0,6,3,0,41,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,2,7,0,9,4455,4055,4055,3650,2385,0.0,64.176,539.529,184.108,1597.187,190121,1748,5015,43508,3644,64,540,184,1597,1,1,19041
4,550,573,2,2,1920,1,0,6,1,0,3,1,2,5,0,0,0,0,0,1,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,1,5,1,4,2,1,0,2,1,1,1,0,2,2,1,0,0,1,1,0,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,41,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,3,3,2,7,995,995,663,0,549,56.008,0.0,0.0,113.999,378.994,152933,0,2214,21759,2609,0,503,114,587,1,4,3125
5,305,364,1,1,1991,6,3,0,2,0,2,1,3,5,0,0,0,0,0,0,0,1,5,1,5,1,0,0,0,0,1,1,1,2,1,1,30,1,2,4,3,3,1,5,1,5,2,1,1,2,2,1,1,1,3,3,0,0,0,1,5,0,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,41,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,2,13,0,16,2781,2781,2781,556,1435,469.814,4.084,200.647,150.311,610.143,39879,114,4177,16956,1435,4,201,150,610,0,0,11688
2,1364,1260,4,2,1928,1,0,5,0,10,2,1,2,4,0,0,0,0,0,1,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,4,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,30,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1090,1090,209,0,50,0.0,0.0,0.0,18.642,31.372,39999,0,2760,9343,322,0,47,19,71,1,1,2170
1,3739,3450,5,1,1972,4,0,3,0,10,1,1,1,2,0,0,0,0,0,0,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,1,0,60,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,400,400,0,200,337,0.0,100.436,104.967,27.558,104.039,8349,2488,683,2578,337,100,105,28,104,0,0,2447
2,2935,2596,5,1,2000,7,0,5,0,10,3,2,4,7,1,2,2,0,0,1,2,0,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,1,5,1,2,1,2,0,3,3,0,0,0,0,0,1,0,1,1,5,0,4,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,5,2,41,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,3,5,1,15,2410,2010,1149,0,1627,271.02,0.0,319.003,174.241,862.737,44823,0,4800,23768,1627,0,319,174,863,0,0,13137
